"20190101:0010","0.8238","1.6476","0.16296495720813","0.16296495720813","0.32968057317988","0.32968057317988","2.140245530388","-2.0632592678165","0.10316296339082","10.316296339082%","","","0.076986262571528","0","","",""
"20190101:0011","0.80408","1.60816","0.15285728862506","0.15285728862506","0.32968057317988","0.32968057317988","2.0906978618049","-2.015740466889","0.1988","19.877792909793%","0","1.9122993141421","0.074957394915955","0","","",""
"20190101:0210","0.71596","1.43192","0.14785413802141","0.14785413802141","0.32968057317988","0.32968057317988","1.9094547112013","-1.8193572723921","0.2851","28.507762197318%","0","1.7259938575051","0.090097438809224","0","","",""
"20190101:0310","0.60249","1.20498","0.12683493393038","0.12683493393038","0.1720576544982","0.1720576544982","1.5038725884286","-1.4028590200888","0.3516","35.162106806707%","0","1.3308689218777","0.10101356833981","0","","",""
"20190101:0410","0.44516","0.89032","0.10110017912186","0.10110017912186","0.1720576544982","0.1720576544982","1.1634778336201","-1.0359740680968","0.4008","40.076163284791%","0","0.98281129561687","0.12750376552327","0","","",""
"20190101:0510","0.23303","0.46606","0.12357721894399","0.12357721894399","0.1720576544982","0.1720576544982","0.76169487344219","-0.61772899720942","0.4301","43.006309196662%","0","0.58602918237407","0.14396587623277","0","","",""
"20190101:0610","0.04578","0.09156","0.14520635501619","0.14520635501619","0.1720576544982","0.1720576544982","0.40882400951439","-0.28619569451465","0.4436","44.363854573462%","0","0.27150907536002","0.12262831499974","0","","",""
"20190101:0710","0.00399","0.00798","0.20967693865606","0.20967693865606","0.1720576544982","0.1720576544982","0.38971459315426","-0.27263809605529","0.4566","45.657090614162%","0","0.25864720813994","0.11707649709897","0","","",""
"20190101:0810","0","0","0.33665733961912","0.33665733961912","0.1720576544982","0.1720576544982","0.50871499411732","-0.40200682219888","0.4756","47.563976403774%","0","0.38137715792244","0.10670817191844","0","","",""
"20190101:0910","0","0","0.52630029030096","0.52630029030096","0.21404844471034","0.21404844471034","0.7403487350113","-0.621880695191","0.5051","50.513815548313%","0","0.58996782890774","0.1184680398203","0","","",""
"20190101:1010","0","0","0.54669894022438","0.54669894022438","0.21404844471034","0.21404844471034","0.76074738493472","-0.65231183262433","0.5361","53.60800225197%","0","0.61883734073143","0.10843555231039","0","","",""
"20190101:1110","0","0","0.59609297049811","0.59609297049811","0.21404844471034","0.21404844471034","0.81014141520845","-0.67737919097507","0.5682","56.821093876595%","0","0.64261832492502","0.13276222423338","0","","",""
"20190101:1210","0","0","0.53153157973675","0.53153157973675","0.38430434492773","0.38430434492773","0.91583592466448","-0.77241660872085","0.6048","60.484987555746%","0","0.73277873583029","0.14341931594363","0","","",""
"20190101:1310","0","0","0.43463024763348","0.43463024763348","0.21404844471034","0.21404844471034","0.64867869234382","-0.52689226222739","0.6298","62.984257000982%","0","0.49985388904718","0.12178643011643","0","","",""
"20190101:1410","0","0","0.35069974600851","0.35069974600851","0.1720576544982","0.1720576544982","0.52275740050671","-0.41614238303157","0.6496","64.958193642947%","0","0.39478732839299","0.10661501747514","0","","",""
"20190101:1510","0","0","0.27417534582252","0.27417534582252","0.1720576544982","0.1720576544982","0.44623300032072","-0.36693830865119","0.6670","66.698734867109%","0","0.34810824483229","0.079294691669534","0","","",""
"20190101:1610","0","0","0.25244196956992","0.25244196956992","0.1720576544982","0.1720576544982","0.42449962406812","-0.31474401436047","0.6819","68.191696815034%","0","0.29859238958515","0.10975560970765","0","","",""
"20190101:1710","0","0","0.33376454181053","0.33376454181053","0.1720576544982","0.1720576544982","0.50582219630873","-0.38959749749967","0.7004","70.039720009235%","0","0.36960463884022","0.11622469880906","0","","",""
"20190101:1810","0","0","0.44954594325627","0.44954594325627","0.1720576544982","0.1720576544982","0.62160359775447","-0.44350303718736","0.7214","72.143439629307%","0","0.42074392401432","0.17810056056711","0","","",""
"20190101:1910","0.13603","0.27206","0.50765237195109","0.50765237195109","0.1720576544982","0.1720576544982","0.95177002644929","-0.78480703292452","0.7587","75.866106250947%","0","0.74453332432807","0.16696299352477","0","","",""
"20190101:2010","0.34888","0.69776","0.54817339613929","0.54817339613929","0.1720576544982","0.1720576544982","1.4179910506375","-1.2711229660072","0.8190","81.895571889045%","0","1.2058931276195","0.14686808463028","0","","",""
"20190101:2110","0.48929","0.97858","0.60302541999786","0.60302541999786","0.1720576544982","0.1720576544982","1.7536630744961","-1.6203081109081","0.8958","89.581368101616%","0","1.5371592425143","0.13335496358795","0","","",""
"20190101:2210","0.68141","1.36282","0.71628910135447","0.71628910135447","0.21404844471034","0.21404844471034","2.2931575460648","-2.198292300635","1.0000","100%","0","2.0837263796768","0.094865245429777","0","","",""
"20190101:2310","0.72514","1.45028","0.82230567185979","0.82230567185979","0.21404844471034","0.21404844471034","2.4866341165701","-2.3957443476096","1.0000","100%","0","0","0.09088976896051","0","","",""
"20190102:0010","0.76211","1.52422","0.79904304716869","0.79904304716869","0.21404844471034","0.21404844471034","2.537311491879","-2.452030385876","1.0000","100%","0","0","0.085281106003012","0","","",""
"20190102:0110","0.72294","1.44588","0.81383918622767","0.81383918622767","0.21404844471034","0.21404844471034","2.473767630938","-2.3974802378773","1.0000","100%","0","0","0.076287393060757","0","","",""
"20190102:0210","0.64534","1.29068","0.89307127012761","0.89307127012761","0.38430434492773","0.38430434492773","2.5680556150553","-2.511270821211","1.0000","100%","0","0","0.056784793844322","0","","",""
"20190102:0310","0.5852","1.1704","0.87716614146362","0.87716614146362","0.38430434492773","0.38430434492773","2.4318704863914","-2.3416437274347","1.0000","100%","0","0","0.09022675895668","0","","",""
